"","var","log","center","scale","min","max","lo99","hi99"
"init","init",TRUE,NA,NA,0.0102,52.5,0.059932,10.6256194794475
"depth","depth",TRUE,2.59168847724412,0.957786417904968,1,650,1.25,225
"map","map",TRUE,6.77755339989885,0.554522836441083,115.9,4900,248.446556456279,4000
"mat","mat",FALSE,13.7965539286377,8.09630997911137,-9.65,31,-1.3,28.1768522262573
"clay","clay",FALSE,251.369249562395,87.8473483694924,29.7953319549561,585.411071777344,70.8749313354492,515.993713378906
"nitrogen","nitrogen",TRUE,7.65823753403407,0.743273323667449,142.413619995117,17465.35546875,345.062286376953,12789.8896484375
"irrigation","irrigation",TRUE,-0.179817553970606,1.72897204567094,0.100000001490116,63.8125991821289,0.100000001490116,44.701545715332
"age","age",TRUE,2.78930503035135,0.999478096305332,0.3,200,1,144.480000000003
